name,filepath
Bleu reflet : réalité augmentée pour l’essayage de bijoux,src/retro_panai/images/image_1.png
Barnabé la télé,src/retro_panai/images/image_2.png
Focus GRT - mai : AB testing réussi,src/retro_panai/images/image_3.png
soirée du Team Building,src/retro_panai/images/image_4.png
Focus Air Liquide : roadmap technologique Data,src/retro_panai/images/image_5.png
La plateforme IA de confiance,src/retro_panai/images/image_6.png
Retex Kering ,src/retro_panai/images/image_7.png
Perspectives de MAPIE,src/retro_panai/images/image_8.png
Retex Suez,src/retro_panai/images/image_9.png
New quanter : Matthieu Vannier,src/retro_panai/images/image_10.png
New quanter : Gill Recouvreux,src/retro_panai/images/image_11.png
Focus Les Rôles de PO / PO Tech / PM,src/retro_panai/images/image_12.png
Retex Orange : IA éthique et responsable,src/retro_panai/images/image_13.png
Changement de contrôle de l’entreprise,src/retro_panai/images/image_14.png
Team Building Ski 2023,src/retro_panai/images/image_15.png